PS C:\Users\pdaniel\OfflineHub_wustl\GitHubTown\chargeRateWidget> python .\charge_rate_widget.py
Monitoring battery. Press Ctrl+C to stop.

[2025-06-16 16:52:17] Discharging | Rate: 0 mW | Remaining: 46888 mWh | Voltage: 12411 mV
[2025-06-16 16:52:22] Discharging | Rate: 0 mW | Remaining: 46877 mWh | Voltage: 12448 mV
[2025-06-16 16:52:27] Discharging | Rate: 0 mW | Remaining: 46877 mWh | Voltage: 12448 mV
[2025-06-16 16:52:32] Discharging | Rate: 0 mW | Remaining: 46877 mWh | Voltage: 12448 mV
[2025-06-16 16:52:37] Discharging | Rate: 0 mW | Remaining: 46877 mWh | Voltage: 12448 mV
[2025-06-16 16:52:42] Discharging | Rate: 0 mW | Remaining: 46831 mWh | Voltage: 12479 mV
[2025-06-16 16:52:47] Discharging | Rate: 0 mW | Remaining: 46831 mWh | Voltage: 12479 mV
[2025-06-16 16:52:52] Discharging | Rate: 0 mW | Remaining: 46786 mWh | Voltage: 11942 mV
[2025-06-16 16:52:57] Discharging | Rate: 0 mW | Remaining: 46717 mWh | Voltage: 11825 mV
[2025-06-16 16:53:02] Discharging | Rate: 0 mW | Remaining: 46717 mWh | Voltage: 11825 mV
[2025-06-16 16:53:07] Discharging | Rate: 0 mW | Remaining: 46672 mWh | Voltage: 12259 mV
[2025-06-16 16:53:12] Discharging | Rate: 0 mW | Remaining: 46672 mWh | Voltage: 12259 mV
[2025-06-16 16:53:18] Discharging | Rate: 0 mW | Remaining: 46672 mWh | Voltage: 12259 mV
[2025-06-16 16:53:23] Discharging | Rate: 0 mW | Remaining: 46672 mWh | Voltage: 12259 mV
[2025-06-16 16:53:28] Discharging | Rate: 0 mW | Remaining: 46672 mWh | Voltage: 12259 mV
[2025-06-16 16:53:33] Discharging | Rate: 0 mW | Remaining: 46672 mWh | Voltage: 12259 mV
[2025-06-16 16:53:38] Discharging | Rate: 0 mW | Remaining: 46512 mWh | Voltage: 12278 mV
[2025-06-16 16:53:43] Discharging | Rate: 0 mW | Remaining: 46512 mWh | Voltage: 12278 mV
